Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean_Price_30d,Rolling_Volatility_30d,Close_Scaled
2015-07-01,174.9171142578125,175.3638894724379,174.1247165978314,175.11099468650048,135979900,,,,0.039580349951678806
2015-07-02,174.75694274902344,175.5662034711772,174.3354557372848,175.39761123903432,104373700,-0.0009156994698241716,,,0.039247512286567476
2015-07-06,174.25958251953125,175.04354214835712,173.2564414233038,173.45875980949862,117975400,-0.0028460112752514144,,,0.03821399378658635
2015-07-07,175.3554229736328,175.48186390537626,172.0593921500799,174.4618727552857,173820200,0.006288552045502271,,,0.04049115893808647
2015-07-08,172.4134979248047,174.29332663471078,172.17746619722743,174.00671851733333,164020100,-0.016776926535488346,,,0.034377815362895026
2015-07-09,172.725341796875,174.79063808028914,172.61576393983106,174.52930537438917,144113100,0.0018086975545634765,,,0.03502582940137067
2015-07-10,174.9002685546875,175.32175561887746,172.7675450389075,174.740101412253,129456900,0.012591821994309305,,,0.03954534444703145
2015-07-13,176.8306884765625,176.94026636778958,176.13101839870154,176.17316967814173,106069400,0.011037261050696356,,,0.043556772349151895
2015-07-14,177.59774780273438,177.90965691476003,176.72948565254435,176.78850000389795,81709600,0.0043378179024256,,,0.04515072771022116
2015-07-15,177.5387420654297,178.10353306184948,177.05824074537554,177.63989482217306,97914100,-0.00033224372513007694,,,0.0450281133203016
2015-07-16,178.96337890625,178.96337890625,178.35643661034132,178.60089340544462,106683300,0.008024371606143665,,,0.047988519970117216
2015-07-17,179.1151123046875,179.17412665894074,178.54189615757733,178.9549451863001,89030000,0.0008478460753524875,,,0.04830382317502019
2015-07-20,179.20785522460938,179.70520684098412,178.88753382331157,179.34273416345243,70446800,0.0005177838917584943,,,0.048496543697888306
2015-07-21,178.499755859375,179.33430480307854,178.19628468555217,179.07297204172738,77965000,-0.003951274146699046,,,0.04702510760308465
2015-07-22,178.17941284179688,178.51661016433286,177.7747889175163,177.80850221838858,88667900,-0.0017946412085318997,,,0.0463594322728621
2015-07-23,177.17623901367188,178.41541161194792,176.81376642944323,178.31425886523485,90509100,-0.005630133201840248,,,0.044274829104806845
2015-07-24,175.33856201171875,177.33640593394207,175.00137761449264,177.27740445266963,117755000,-0.01037202850779173,,,0.04045612172555452
2015-07-27,174.31863403320312,174.95930267528934,173.87185872373027,174.4450878843987,132361100,-0.005816906257321008,,,0.03833670330015981
2015-07-28,176.4597625732422,176.60306662076323,174.32703921777386,175.1615753099707,123544800,0.012282843724161108,,,0.042785985381333436
2015-07-29,177.67367553710938,177.90126930966397,176.4429275468673,176.58623161717537,105791300,0.006879262139794173,,,0.045308506144211225
2015-07-30,177.71580505371094,177.88439730032104,176.53563360191248,177.15943906341013,91304400,0.0002371173809188054,,,0.04539605161371413
2015-07-31,177.446044921875,178.24686773020483,177.15943681999087,178.22157953667175,103266900,-0.0015179298867334934,,,0.044835487921087436
2015-08-03,176.84750366210938,177.47130903105193,175.88651384997527,177.4123075417363,113965700,-0.0033730887607505977,,,0.043591714438029894
2015-08-04,176.50193786621094,177.23532128648395,176.01301129844055,176.77168291508397,81820800,-0.0019540326481435333,,,0.04287362597449035
2015-08-05,177.0835418701172,178.12882132425926,176.7969209546239,177.40386322085675,85786800,0.003295170641962608,,,0.04408220370559268
2015-08-06,175.6336212158203,177.3785705399821,175.0435291821532,177.26897981439913,116030800,-0.008187777582178257,,,0.04106925709092146
2015-08-07,175.2964324951172,175.62519182516738,174.38601907434085,175.4734626864189,117858000,-0.0019198415335796026,,,0.04036857625605156
2015-08-10,177.50506591796875,177.58935561197563,176.41762210433706,176.41762210433706,80270700,0.012599420258670113,,,0.04495813401889165
2015-08-11,175.9033660888672,176.57774779644564,175.1362567357122,176.15626083705428,126081400,-0.009023403477632419,,,0.041629789075663504
2015-08-12,176.11407470703125,176.29952996147375,173.11309020824703,174.5882942741023,172123700,0.0011978657535047788,176.40917104085287,,0.042067643254716736
2015-08-13,175.89492797851562,176.64517419626532,175.34698725415265,175.95392945983335,89383300,-0.0012443453419619388,176.44176483154297,0.007019705906305363,0.0416122546154552
2015-08-14,176.53555297851562,176.6114175254284,175.55770038689073,175.7010043742009,72786500,0.003642089100364787,176.5010518391927,0.007043790670915695,0.04294347844436175
2015-08-17,177.52186584472656,177.52186584472656,175.47344549572972,175.9370837010872,79072600,0.005587049461537985,176.60979461669922,0.007079550437982274,0.044993044399884996
